Name,Type,Inhabitant,English,Westron,Quenya,Sindarin,Khuzdul,Rohirric,Other,SHAPE_Leng,SHAPE_Area,layer,Name_1,xcoord,ycoord
Forannest,,,"""North Entrance""",,,Forannest,,,,,,Doors_Gates,,3966066.18,1972843.63
Forest Gate,,,Forest Gate,,,,,,,,,Doors_Gates,,3810851.73,2885561.53
Front Gate,,,Front Gate; Gate of Erebor,,,,,,,,,Doors_Gates,,4055521.67,2900853.26
Gate of Isengard,,,Gate of Isengard,,,,,,,,,Doors_Gates,,3490155.55,2294703.23
Goblin-gate,,,Goblin-gate; Back-door,,,,,,,,,Doors_Gates,,3762915.05,2833925.15
Great Gate of Minas Tirith,,,Great Gate of Minas Tirith,,,,,,,,,Doors_Gates,,3957654.88,1953185.18
Great Gates,,,Great Gates; East Gates; Dimrill Gate; Moria Gate,,,,,,,,,Doors_Gates,,3670925.00,2546315.31
Helm's Gate,,,Helm's Gate,,,,,,,,,Doors_Gates,,3498186.52,2200331.29
Undergate,,,Undergate,,,,,,,,,Doors_Gates,,4071018.37,1988072.42
West-gate of Bree,,,West-gate of Bree,,,,,,,,,Doors_Gates,,3191481.60,2733822.71
Henneth Annûn,,,"""Window of the Sunset""/""Window of the West""",,,Henneth Annûn,,,,,,Falls,,3989860.32,2043698.65
Rauros,,,"""roaring spray""; ""Rush-rain""/""Roar-rain""",,,Rauros,,,,,,Falls,,3898941.82,2177626.98
Stair Falls,,,Stair Falls,,,,,,,,,Falls,,3545264.29,2499398.37
Crossings of Erui,,,Crossings of Erui,,,Thraid Erui,,,,,,Fords,,3928389.33,1906417.83
Entwade,,,"Entwade; Ent ""ford""",,,,,Endwaed,,,,Fords,,3672317.73,2194598.34
Ford of Bruinen,,,Ford of Bruinen; Ford of Loudwater; Ford of Rivendell,,,[ford of] Bruinen,,,,,,Fords,,3597155.25,2763462.05
Ford of Carrock,,Beornings,Ford of Carrock,,,,,,,,,Fords,,3804320.03,2820039.98
Fords of Isen,,Rohirrim,"Fords of Isen; ""fords of iron""",,,Ethraid Engrin (singular Athrad Angren),,,,,,Fords,,3490483.98,2229608.57
Crossings of Poros,,,Crossings of Poros; Fords of Poros,,,,,,,,,Fords,,3994788.58,1758243.99
North Undeep,,,North Undeep,,,,,,,,,Fords,,3808018.83,2402055.90
Old Ford,,,Old Ford,,,,,,,,,Fords,,3813163.29,2799905.87
Sarn Ford,,Rangers of the North (pre-War of the Ring); Ringwraiths,"""Stony Ford""",,,Half-translation of Sarn Athrad,,,,,,Fords,,3107316.98,2579080.14
South Undeep,,,South Undeep,,,,,,,,,Fords,,3869532.16,2336431.01
Tharbad,,Uninhabited,"""road-crossing""; ""the Stepping Stones""",,,Tharbad,,,,,,Fords,,3262645.34,2447026.33
Barad-dûr,Tower,"Sauron, Nazgûl, Orcs","""Dark Tower""",,,Barad-Dûr,,,Lugbúrz (Black Speech),,,Fortresses,,4159292.48,2047241.57
Black Gate,Gate,Gondorians (originally); Orcs (during the War of the Ring),Black Gate,,,Morannon,,,,,,Fortresses,,4052198.66,2156056.31
Carchost,Tower,Gondorians (originally); forces of Sauron (during the War of the Ring),"""fang fort""",,,Carchost,,,,,,Fortresses,,4054462.76,2156397.85
Carn Dûm,Fortress,"The Witch-king, Orcs, Men of Darkness, Wolves, Trolls",,,,,,,,,,Fortresses,,3391162.39,3078938.88
Dol Guldur,Fortress,"Sauron, forces of Sauron, Khamûl","""Hill of Sorcery""",,,Dol Guldur,,,,,,Fortresses,,3868943.85,2532517.84
Dunharrow,Fortified refuge,Rohirrim,"""the heathen fane on the hillside""",Dunharrow,,,,Dúnharg/Dūnhaerg,,,,Fortresses,,3578891.34,2120746.61
Durthang,Fortress,Gondorians (originally); Orcs (during the War of the Ring),"""Dark oppression""",,,Durthang,,,,,,Fortresses,,4028880.52,2088051.43
Fornost Erain,City/Fortress,Dúnedain,"""Northern Fortress (of the) Kings""; Deadman's Dike (colloquial)",Norbury of the Kings,,Fornost Erain,,,,,,Fortresses,,3177248.26,2814290.38
Helm's Deep,Defensive System,Gondorians; Rohirrim,Helm's Deep,,,,,,,,,Fortresses,,3494059.02,2199934.41
Hornburg,Fortress,Gondorians; Rohirrim,horn fortress,,,,,"Hornburg; Súthburg (""southern fortress""; former name)",,,,Fortresses,,3494059.02,2199934.41
Isengard,Fortress,"Dúnedain, Dunlendings; Saruman, Orcs, Wicked men; Ents, Huorns","""Iron Fortress""; ""Iron-courd""",,,Angrenost,,Isengard,,,,Fortresses,,3490504.86,2297202.60
Minas Morgul,Tower/City,Gondorians (originally); Orcs (during the War of the Ring),"Tower of Black Sorcery; Dead City; Tower of the Moon, Tower of the Rising Moon, Moon-tower",,,"Minas Morgul (""tower of black sorcery""); Minas Ithil (""tower of the moon"")",,,,,,Fortresses,,4033830.88,1979976.75
Narchost,Tower,Gondorians (originally); forces of Sauron (during the War of the Ring),"""bitter-biting fort""",,,Narchost,,,,,,Fortresses,,4048715.77,2156156.91
Tower of Cirith Ungol,Tower,Forces of Sauron,"""Spider's cleft""",,,Cirith Ungol,,,,,,Fortresses,,4071018.37,1988072.42
Minas Tirith,Tower/City,Gondorians,"""Tower of the Guard""; The Guarded City; ""Tower of the Sun"" (formerly)",,,Minas Tirith; Minas Arnor (formerly),,"Mundburg (""Protecting Hill"")",Stone-houses (Woses of Drúadan Forest),,,Fortresses,,3956143.31,1953066.87
Balin's Tomb,,,Balin's Tomb,,,,,,,,,Graves_Tombs,,3638482.84,2583360.53
Barrowfield,,,Barrowfield,,,,,,,,,Graves_Tombs,,3573400.28,2134990.70
Battle Pit,,,Battle Pit,,,,,,,,,Graves_Tombs,,3081110.25,2724335.38
Death Down,,,Death Down,,,,,,,,,Graves_Tombs,,3496202.14,2200251.91
Haudh in Gwanûr,,,"""mound of the brothers""",,,Haudh in Gwanûr,,,,,,Graves_Tombs,,3985661.63,1759794.91
House of the Kings,,,House of the Kings,,,,,,,,,Graves_Tombs,,3954629.86,1953682.04
House of the Stewards,,,House of the Stewards,,,,,,,,,Graves_Tombs,,3954849.09,1953578.98
Mound of Riders,,,Mound of Riders,,,,,,,,,Graves_Tombs,,3490483.98,2229608.57
Mounds of Mundburg,,,Mounds of Mundburg,,,,,,,,,Graves_Tombs,,3968145.72,1962527.27
Tomb of Elendil,,,Tomb of Elendil; Mound of Elendil,,,,,,,,,Graves_Tombs,,3766891.93,2064257.50
Edhellond,,"Sindar, Nandor, Gondorians","""Elf Haven""",,,Edhellond,,,,,,Harbors,,3581857.76,1879228.79
Forlond,,Elves,"""Northhaven""",,,Forlond,,,,,,Harbors,,2649403.46,2818510.49
Grey Havens,,Elves,Grey Havens,,,Mithlond,,,,,,Harbors,,2834943.60,2719801.54
Grey Havens,,Elves,Grey Havens,,,Mithlond,,,,,,Harbors,,2812665.64,2742344.09
Grindwall,,,Grindwall,,,,,,,,,Harbors,,3126830.33,2681840.83
Harlond (Gondor),,Gondorians,"""Southhaven""",,,Harlond,,,,,,Harbors,,3957571.46,1949371.23
Harlond (Lindon),,Elves,"""Southhaven""",,,Harlond,,,,,,Harbors,,2703895.21,2650421.04
Lond Daer,,Númenóreans,"""Great Haven""",,"Vinyalondë (""New Haven"")","Lond Daer Enedh (""Great Haven"")",,,,,,Harbors,,3062070.10,2278684.57
Mithe Steps,,None,Mithe Steps,,,,,,,,,Harbors,,3118788.14,2685162.67
Pelargir,,Gondorians,"""Garth of [the] Royal Ships""",,,Pelargir,,,,,,Harbors,,3897987.58,1826858.48
