Name,Type,Inhabitant,English,Westron,Quenya,Sindarin,Khuzdul,Rohirric,Other,SHAPE_Leng,SHAPE_Area,x,y
Dol Guldur,Fortresses,"Sauron, forces of Sauron, Khamûl","""Hill of Sorcery""",,,Dol Guldur,,,,,,49.49465789,8.126846854
Dunharrow,Fortresses,Rohirrim,"""the heathen fane on the hillside""",Dunharrow,,,,Dúnharg/Dūnhaerg,,,,45.53412926,4.434649264
Durthang,Fortresses,Gondorians (originally); Orcs (during the War of the Ring),"""Dark oppression""",,,Durthang,,,,,,45.37728776,10.38017614
Fornost Erain,Fortresses,Dúnedain,"""Northern Fortress (of the) Kings""; Deadman's Dike (colloquial)",Norbury of the Kings,,Fornost Erain,,,,,,51.49296943,-2.324485639
Helm's Deep,Fortresses,Gondorians; Rohirrim,Helm's Deep,,,,,,,,,46.20103103,3.223472046
Hornburg,Fortresses,Gondorians; Rohirrim,horn fortress,,,,,"Hornburg; Súthburg (""southern fortress""; former name)",,,,46.20103103,3.223472046
Isengard,Fortresses,"Dúnedain, Dunlendings; Saruman, Orcs, Wicked men; Ents, Huorns","""Iron Fortress""; ""Iron-courd""",,,Angrenost,,Isengard,,,,47.09786902,3.054033341
Minas Morgul,Fortresses,Gondorians (originally); Orcs (during the War of the Ring),"Tower of Black Sorcery; Dead City; Tower of the Moon, Tower of the Rising Moon, Moon-tower",,,"Minas Morgul (""tower of black sorcery""); Minas Ithil (""tower of the moon"")",,,,,,44.37514715,10.43692801
Narchost,Fortresses,Gondorians (originally); forces of Sauron (during the War of the Ring),"""bitter-biting fort""",,,Narchost,,,,,,46.00810013,10.64914762
Tower of Cirith Ungol,Fortresses,Forces of Sauron,"""Spider's cleft""",,,Cirith Ungol,,,,,,44.44698055,10.91846987
Minas Tirith,Fortresses,Gondorians,"""Tower of the Guard""; The Guarded City; ""Tower of the Sun"" (formerly)",,,Minas Tirith; Minas Arnor (formerly),,"Mundburg (""Protecting Hill"")",Stone-houses (Woses of Drúadan Forest),,,44.12530764,9.436243953
Balin's Tomb,Graves_Tombs,,Balin's Tomb,,,,,,,,,49.86471279,4.789131793
Barrowfield,Graves_Tombs,,Barrowfield,,,,,,,,,45.66207253,4.347989028
Battle Pit,Graves_Tombs,,Battle Pit,,,,,,,,,50.51278166,-3.490640043
Death Down,Graves_Tombs,,Death Down,,,,,,,,,46.20578637,3.25162997
Haudh in Gwanûr,Graves_Tombs,,"""mound of the brothers""",,,Haudh in Gwanûr,,,,,,42.34019565,9.821679589
House of the Kings,Graves_Tombs,,House of the Kings,,,,,,,,,44.13089467,9.416727745
House of the Stewards,Graves_Tombs,,House of the Stewards,,,,,,,,,44.12995646,9.4195564
Mound of Riders,Graves_Tombs,,Mound of Riders,,,,,,,,,46.47243196,3.139062944
Mounds of Mundburg,Graves_Tombs,,Mounds of Mundburg,,,,,,,,,44.2136403,9.58985021
Tomb of Elendil,Graves_Tombs,,Tomb of Elendil; Mound of Elendil,,,,,,,,,45.11258567,6.946087309
Edhellond,Harbors,"Sindar, Nandor, Gondorians","""Elf Haven""",,,Edhellond,,,,,,43.30494009,4.702148489
Forlond,Harbors,Elves,"""Northhaven""",,,Forlond,,,,,,50.46572866,-9.940208492
Grey Havens,Harbors,Elves,Grey Havens,,,Mithlond,,,,,,50.00221589,-6.976467474
Grey Havens,Harbors,Elves,Grey Havens,,,Mithlond,,,,,,50.15867656,-7.365210323
Grindwall,Harbors,,Grindwall,,,,,,,,,50.19849025,-2.726660194
Harlond (Gondor),Harbors,Gondorians,"""Southhaven""",,,Harlond,,,,,,44.09119036,9.454951799
Harlond (Lindon),Harbors,Elves,"""Southhaven""",,,Harlond,,,,,,49.08437201,-8.56091821
Lond Daer,Harbors,Númenóreans,"""Great Haven""",,"Vinyalondë (""New Haven"")","Lond Daer Enedh (""Great Haven"")",,,,,,46.40026351,-2.655623296
Mithe Steps,Harbors,None,Mithe Steps,,,,,,,,,50.21606072,-2.849875061
Pelargir,Harbors,Gondorians,"""Garth of [the] Royal Ships""",,,Pelargir,,,,,,42.95134698,8.716957115
