Name,Type,Inhabitant,English,Westron,Quenya,Sindarin,Khuzdul,Rohirric,Other,SHAPE_Leng,SHAPE_Area,layer,Name_1,x,y
Durthang,Building,"Gondorians (originally); Orcs (during the War of the Ring)","""Dark oppression""",,,Durthang,,,,,,Buildings,,4028880.5203878055,2088051.4317582101
Elvenking's Halls,Building,Silvan Elves,Elvenking's Halls,,,,,,,,,Buildings,,4015399.5343071590,2875579.6582088023
Endless Stair,Building,Uninhabited during the War of the Ring,Endless Stair,,,,,,,,,Buildings,,3638226.3114005327,2584105.3123937175
Ent-houses,Building,Ents,Ent-houses,,,,,,,,,Buildings,,3558735.2483870089,2310644.3747131191
First Hall,Building,"Dwarves (originally); Uninhabited during the War of the Ring",First Hall,,,,,,,,,Buildings,,3671059.3199952911,2546377.9575047083
Great Chamber of Thrór,Building,"Dwarves; Smaug",Great Chamber of Thrór,,,,,,,,,Buildings,,4055207.4671536465,2901526.8641371578
Great Hall of Feasts,Building,Gondorians,Great Hall of Feasts,,,Merethrond,,,,,,Buildings,,3956282.0006395727,1953855.6748506241
Great Hall of Osgiliath,Building,Gondorians,Great Hall of Osgiliath,,,,,,,,,Buildings,,3987876.4060382391,1966603.2564520128
Great Hall of Thráin,Building,"Dwarves; Smaug",Great Hall of Thráin,,,,,,,,,Buildings,,4050356.6607522294,2907023.1300323159
Great House,Building,Men,Great House,,,,,,,,,Buildings,,4080447.7834983766,2846437.3942064419
Great Smials,Building,Took family (Hobbits),Great Smials,,,,,,,,,Buildings,,3064413.2419663817,2703624.9026174136
Hall of Fire,Building,Elrond,Hall of Fire,,,,,,,,,Buildings,,3640417.8326397464,2784922.9692334533
The Forsaken Inn,Inn,"(Abandoned) Bree-men, Hobbits",The Forsaken Inn,,,,,,,,,Buildings,,3215796.3434444442,2730340.3180193007
Ivy Bush,Inn,Hobbits,Ivy Bush,,,,,,,,,Buildings,,3082041.3224643022,2725261.1597554758
Sea-ward Tower,Tower,Gondorians,Sea-ward Tower,,,Tirith Aear,,,,,,Buildings,,3553798.0130998194,1851822.9320480973
Dol Guldur,Building,"Sauron, forces of Sauron, Khamûl","""Hill of Sorcery""",,,Dol Guldur,,,,,,Buildings,,3868943.8518179054,2532517.8350864761
Grimslade,Building,"Rohirrim, Grimbold",Grimslade,,,,,Grimslaed,,,,Buildings,,3502389.8403630555,2186859.6518915817
House of the Mírdain,Building,"Noldor, Celebrimbor","House of the ""Jewel-smiths""",,,[House of the] Mírdain,,,,,,Buildings,,3425091.6650885195,2454631.7500087246
Houses of Healing,Building,Gondorians,Houses of Healing,,,,,,,,,Buildings,,3956046.2047783951,1953304.3135413935
Huts of the raft-elves,Building,Raft-elves,Huts of the raft-elves,,,,,,,,,Buildings,,4021255.7649430558,2871005.5838618241
King's House,Building,"Gondorian Kings (originally); uninhabited during the War of the Ring",King's House,,,,,,,,,Buildings,,3988044.1511106263,1966585.3362549616
Lockholes,Building,Hobbits,Lockholes,,,,,,,,,Buildings,,3005630.4122437015,2697701.8981925100
Mathom-house,Building,Hobbits,Mathom-house,"kast (""mathom"") [house]",,,,,,,,Buildings,,3005630.4122437015,2697701.8981925100
Meduseld,Building,Rohirrim,"Golden Hall; ""Mead Hall""/""hall of feasts""",,,,,Meduseld,,,,Buildings,,3578535.5870273113,2136575.6792697459
Old Grange,Building,Hobbits,Old Grange,,,,,,,,,Buildings,,3079310.8444138169,2730774.0592478961
Old Mill,Building,Hobbits,Old Mill,,,,,,,,,Buildings,,3079846.1717256904,2730761.6342499405
Rhosgobel,Building,Radagast (Maia/Wizard),"""russet village or 'town' (enclosure)""",,,Rhosgobel,,,,,,Buildings,,3842624.0562508847,2805729.7979080640
Second Hall,Building,"Dwarves (originally); Uninhabited during the War of the Ring",Second Hall,,,,,,,,,Buildings,,3658669.4800350070,2563098.4583520405
Shirriff-house,Building,Hobbits,Shirriff-house,,,,,,,,,Buildings,,3104990.5355862156,2723842.0300891027
Tower Hall,Building,Gondorians,Tower Hall,,,,,,,,,Buildings,,3956303.5152360350,1953734.4219705872
Town Hole,Building,"Hobbits, mayor of Michel Delving",Town Hole,,,,,,,,,Buildings,,3005630.4122437015,2697701.8981925100
Twenty-first Hall,Building,"Dwarves (originally); Uninhabited during the War of the Ring",Twenty-first Hall,,,,,,,,,Buildings,,3638482.8446582998,2583302.1625259370
Two Watchers,Building,Forces of Sauron,Two Watchers,,,,,,,,,Buildings,,4071858.5776124001,1988371.9969682619
Warning beacons of Gondor,Building,Gondorians,Warning beacons of Gondor,,,,,,,,,Buildings,,3766689.6804518327,2064413.0179497600
Warning beacons of Gondor,Building,Gondorians,Warning beacons of Gondor,,,,,,,,,Buildings,,3820267.3837314248,2058735.5774844289
Warning beacons of Gondor,Building,Gondorians,Warning beacons of Gondor,,,,,,,,,Buildings,,3837003.1843762398,2042877.8644950539
Warning beacons of Gondor,Building,Gondorians,Warning beacons of Gondor,,,,,,,,,Buildings,,3864651.3265245785,2030755.8339906819
Warning beacons of Gondor,Building,Gondorians,Warning beacons of Gondor,,,,,,,,,Buildings,,3894178.8854635055,2020013.7290591376
Wellinghall,Building,"Ents, Treebeard","""hall (under or behind) the outflow of the spring of Entwash""",,,,,,,,,Buildings,,3546277.5647378936,2331799.3527304120
Withy-weir,Building,,Withy-weir,,,,,,,,,Buildings,,3141125.9906372949,2687387.0545906238
White Towers,Tower,Elves,White Towers,,,,,,,,,Buildings,,2895744.1326340884,2713070.6609623767
Old Guesthouse,Inn,Gondorians,Old Guesthouse,,,Sennas laur,,,,,,Buildings,,3956761.6435606102,1952297.7567071021
Black Pits,Building,"	Sauron, Nazgûl, Orcs",Black Pits,,,,,,,,,Buildings,,4159229.0594287510,2047307.7151657753
Eagle's Eyrie,Eyrie,Eagles,Eagle's Eyrie,,,,,,,,,Buildings,,3758206.6163483858,2838328.6694413684
Warning beacons of Gondor,Building,Gondorians,Warning beacons of Gondor,,,,,,,,,Buildings,,3926642.6688190470,2017738.5492336971
Warning beacons of Gondor,Building,Gondorians,Warning beacons of Gondor,,,,,,,,,Buildings,,3954957.3350576535,2009311.4863210283
Brockenbores,,,"Brockenbores; Brockenborings; ""badger-burrowings""",,,,,,,,,Cave_entrances,,3108919.0774394646,2750970.3823230118
Front Porch,,,Front Porch,,,,,,,,,Cave_entrances,,3702268.9098573104,2822508.7851457670
Glittering Caves,,,"Glittering Caves; ""caves of glory""; ""Caverns of Helm's Deep""",,,"Aglarond (""caves of glory"")",,"Glæmscrafu (""Caverms of Helm's Deep"")",,,,Cave_entrances,,3492295.1565249264,2200152.5071032010
Henneth Annûn,,,"""Window of the Sunset""/""Window of the West""",,,Henneth Annûn,,,,,,Cave_entrances,,3989860.3236116320,2043698.6450599320
Shelob's Lair,,,Shelob's Lair,,,"Torech Ungol (""tunnel of the spider"")",,,,,,Cave_entrances,,4069869.2930398951,1988146.9260053153
Troll's Cave,,,Troll's Cave,,,,,,,,,Cave_entrances,,3581353.9964633211,2752489.1352729797
Wellinghall,,,"""hall (under or behind) the outflow of the spring of Entwash""",,,,,,,,,Cave_entrances,,3546277.5647378936,2331799.3528304100
Argonath,,,"Pillars of the Kings; Gates of Argonath; Gates of the Kings; Gates of Gondor",,,Argonath,,,,,,Doors_Gates,,3902390.3956116582,2223226.2187046185
Argonath,,,"Pillars of the Kings; Gates of Argonath; Gates of the Kings; Gates of Gondor",,,Argonath,,,,,,Doors_Gates,,3905882.9026366919,2222908.7179568857
Back Door,,,Back Door,,,,,,,,,Doors_Gates,,4040680.4430452064,2907993.0672726370
Black Gate,,,"Black Gate; Gate of Mordor",,,"Morannon (""Black Gate"")",,,,,,Doors_Gates,,4052198.6605489850,2156056.3134626821
Buckland Gate,,,"Buckland Gate; Hay Gate; North Gate",,,,,,,,,Doors_Gates,,3134801.7422784492,2726065.2035231069
Causeway Forts,,,Causeway Forts,,,,,,,,,Doors_Gates,,3974853.4818821847,1961923.4016224479
Dark Door,,,"Dark Door; Gates of the Dead; Forbidden Door",,,,,,,,,Doors_Gates,,3579676.1994395331,2116219.0092210285
Doors of Durin,,,"Doors of Durin; West-gate; West-door of Moria; Elven Door; Moria Gate",,,,,,,,,Doors_Gates,,3545477.4287696183,2499716.7996864505
Fen Hollen,,,"Steward's Door; Closed Door; ""shut door""",,,Fen Hollen,,,,,,Doors_Gates,,3955900.5513023734,1953757.4080668015
Forannest,,,"""North Entrance""",,,Forannest,,,,,,Doors_Gates,,3966066.1839288250,1972843.6303246692
Forest Gate,,,Forest Gate,,,,,,,,,Doors_Gates,,3810851.7339815046,2885561.5278655030
Front Gate,,,"Front Gate; Gate of Erebor",,,,,,,,,Doors_Gates,,4055521.6722019166,2900853.2585480511
Gate of Isengard,,,Gate of Isengard,,,,,,,,,Doors_Gates,,3490155.5481771678,2294703.2336374819
Goblin-gate,,,"Goblin-gate; Back-door",,,,,,,,,Doors_Gates,,3762915.0518732439,2833925.1452663094
Great Gate of Minas Tirith,,,Great Gate of Minas Tirith,,,,,,,,,Doors_Gates,,3957654.8801135570,1953185.1755610071
Great Gates,,,"Great Gates; East Gates; Dimrill Gate; Moria Gate",,,,,,,,,Doors_Gates,,3670925.0021174033,2546315.3123150207
Helm's Gate,,,Helm's Gate,,,,,,,,,Doors_Gates,,3498186.5232550427,2200331.2855737694
Undergate,,,Undergate,,,,,,,,,Doors_Gates,,4071018.3694507256,1988072.4220175815
West-gate of Bree,,,West-gate of Bree,,,,,,,,,Doors_Gates,,3191481.5983473435,2733822.7073460035
Henneth Annûn,,,"""Window of the Sunset""/""Window of the West""",,,Henneth Annûn,,,,,,Falls,,3989860.3236116320,2043698.6450599320
Rauros,,,"""roaring spray""; ""Rush-rain""/""Roar-rain""",,,Rauros,,,,,,Falls,,3898941.8176793903,2177626.9786115400
Stair Falls,,,Stair Falls,,,,,,,,,Falls,,3545264.2865047082,2499398.3707388751
Crossings of Erui,,,Crossings of Erui,,,Thraid Erui,,,,,,Fords,,3928389.3281314969,1906417.8341602348
Entwade,,,"Entwade; Ent ""ford""",,,,,Endwaed,,,,Fords,,3672317.7334881201,2194598.3369175754
Ford of Bruinen,,,"Ford of Bruinen; Ford of Loudwater; Ford of Rivendell",,,[ford of] Bruinen,,,,,,Fords,,3597155.2504619882,2763462.0467665307
Ford of Carrock,,Beornings,Ford of Carrock,,,,,,,,,Fords,,3804320.0258568153,2820039.9844522029
Fords of Isen,,Rohirrim,"Fords of Isen; ""fords of iron""",,,Ethraid Engrin (singular Athrad Angren),,,,,,Fords,,3490483.9771230966,2229608.5655539036
Crossings of Poros,,,"Crossings of Poros; Fords of Poros",,,,,,,,,Fords,,3994788.5764003024,1758243.9850538373
North Undeep,,,North Undeep,,,,,,,,,Fords,,3808018.8279478848,2402055.8977641985
Old Ford,,,Old Ford,,,,,,,,,Fords,,3813163.2920009568,2799905.8713668436
Sarn Ford,,"Rangers of the North (pre-War of the Ring); Ringwraiths","""Stony Ford""",,,Half-translation of Sarn Athrad,,,,,,Fords,,3107316.9751032144,2579080.1406210028
South Undeep,,,South Undeep,,,,,,,,,Fords,,3869532.1624210482,2336431.0136679076
Tharbad,,Uninhabited,"""road-crossing""; ""the Stepping Stones""",,,Tharbad,,,,,,Fords,,3262645.3413317800,2447026.3348607905
Barad-dûr,Tower,"Sauron, Nazgûl, Orcs","""Dark Tower""",,,Barad-Dûr,,,Lugbúrz (Black Speech),,,Fortresses,,4159292.4814183111,2047241.5693766661
Black Gate,Gate,"Gondorians (originally); Orcs (during the War of the Ring)",Black Gate,,,Morannon,,,,,,Fortresses,,4052198.6605489850,2156056.3134626821
Carchost,Tower,"Gondorians (originally); forces of Sauron (during the War of the Ring)","""fang fort""",,,Carchost,,,,,,Fortresses,,4054462.7564762458,2156397.8467064574
Carn Dûm,Fortress,"The Witch-king, Orcs, Men of Darkness, Wolves, Trolls",,,,,,,,,,Fortresses,,3391162.3941742405,3078938.8790301234
Dol Guldur,Fortress,"Sauron, forces of Sauron, Khamûl","""Hill of Sorcery""",,,Dol Guldur,,,,,,Fortresses,,3868943.8518179054,2532517.8351864740
Dunharrow,Fortified refuge,Rohirrim,"""the heathen fane on the hillside""",Dunharrow,,,,Dúnharg/Dūnhaerg,,,,Fortresses,,3578891.3370687440,2120746.6141756587
Durthang,Fortress,"Gondorians (originally); Orcs (during the War of the Ring)","""Dark oppression""",,,Durthang,,,,,,Fortresses,,4028880.5203878055,2088051.4318582080
Fornost Erain,City/Fortress,Dúnedain,"""Northern Fortress (of the) Kings""; Deadman's Dike (colloquial)",Norbury of the Kings,,Fornost Erain,,,,,,Fortresses,,3177248.2629905492,2814290.3820987493
Helm's Deep,Defensive System,"Gondorians; Rohirrim",Helm's Deep,,,,,,,,,Fortresses,,3494059.0150345415,2199934.4098391086
Hornburg,Fortress,"Gondorians; Rohirrim",horn fortress,,,,,"Hornburg; Súthburg (""southern fortress""; former name)",,,,Fortresses,,3494059.0150345415,2199934.4098391086
Isengard,Fortress,"Dúnedain, Dunlendings; Saruman, Orcs, Wicked men; Ents, Huorns","""Iron Fortress""; ""Iron-courd""",,,Angrenost,,Isengard,,,,Fortresses,,3490504.8597196564,2297202.5957260132
Minas Morgul,Tower/City,"Gondorians (originally); Orcs (during the War of the Ring)","Tower of Black Sorcery; Dead City; Tower of the Moon, Tower of the Rising Moon, Moon-tower",,,"Minas Morgul (""tower of black sorcery""); Minas Ithil (""tower of the moon"")",,,,,,Fortresses,,4033830.8812728375,1979976.7548503540
Narchost,Tower,"Gondorians (originally); forces of Sauron (during the War of the Ring)","""bitter-biting fort""",,,Narchost,,,,,,Fortresses,,4048715.7697223648,2156156.9122461230
Tower of Cirith Ungol,Tower,Forces of Sauron,"""Spider's cleft""",,,Cirith Ungol,,,,,,Fortresses,,4071018.3694507256,1988072.4220175815
Minas Tirith,Tower/City,Gondorians,"""Tower of the Guard""; The Guarded City; ""Tower of the Sun"" (formerly)",,,"Minas Tirith; Minas Arnor (formerly)",,"Mundburg (""Protecting Hill"")",Stone-houses (Woses of Drúadan Forest),,,Fortresses,,3956143.3098624046,1953066.8680804819
Balin's Tomb,,,Balin's Tomb,,,,,,,,,Graves_Tombs,,3638482.8446582998,2583360.5273163319
Barrowfield,,,Barrowfield,,,,,,,,,Graves_Tombs,,3573400.2800727263,2134990.7013306767
Battle Pit,,,Battle Pit,,,,,,,,,Graves_Tombs,,3081110.2539175823,2724335.3800078854
Death Down,,,Death Down,,,,,,,,,Graves_Tombs,,3496202.1442817226,2200251.9103868380
Haudh in Gwanûr,,,"""mound of the brothers""",,,Haudh in Gwanûr,,,,,,Graves_Tombs,,3985661.6255028625,1759794.9091985114
House of the Kings,,,House of the Kings,,,,,,,,,Graves_Tombs,,3954629.8649115642,1953682.0351792087
House of the Stewards,,,House of the Stewards,,,,,,,,,Graves_Tombs,,3954849.0928754737,1953578.9797961749
Mound of Riders,,,Mound of Riders,,,,,,,,,Graves_Tombs,,3490483.9771230966,2229608.5655539036
Mounds of Mundburg,,,Mounds of Mundburg,,,,,,,,,Graves_Tombs,,3968145.7170864721,1962527.2744230328
Tomb of Elendil,,,"Tomb of Elendil; Mound of Elendil",,,,,,,,,Graves_Tombs,,3766891.9317185362,2064257.5015753619
Edhellond,,"Sindar, Nandor, Gondorians","""Elf Haven""",,,Edhellond,,,,,,Harbors,,3581857.7582803890,1879228.7869363204
Forlond,,Elves,"""Northhaven""",,,Forlond,,,,,,Harbors,,2649403.4572887272,2818510.4947039969
Grey Havens,,Elves,Grey Havens,,,Mithlond,,,,,,Harbors,,2834943.5995435715,2719801.5441542827
Grey Havens,,Elves,Grey Havens,,,Mithlond,,,,,,Harbors,,2812665.6383111551,2742344.0892431401
Grindwall,,,Grindwall,,,,,,,,,Harbors,,3126830.3272907659,2681840.8348036893
Harlond (Gondor),,Gondorians,"""Southhaven""",,,Harlond,,,,,,Harbors,,3957571.4569272920,1949371.2331888899
Harlond (Lindon),,Elves,"""Southhaven""",,,Harlond,,,,,,Harbors,,2703895.2125178427,2650421.0407762751
Lond Daer,,Númenóreans,"""Great Haven""",,"Vinyalondë (""New Haven"")","Lond Daer Enedh (""Great Haven"")",,,,,,Harbors,,3062070.1040521339,2278684.5725746043
Mithe Steps,,None,Mithe Steps,,,,,,,,,Harbors,,3118788.1404147372,2685162.6683568209
Pelargir,,Gondorians,"""Garth of [the] Royal Ships""",,,Pelargir,,,,,,Harbors,,3897987.5797364865,1826858.4826579504
